 iter   |   grad     |   value    |      M       |    e_min     |   time     |      x[0]    x[1]    x[2]    x[3]  | 
    55  | 2.017e+00  | 1.834e+02  |    16.89600  |     0.61813  | +0.001502  | [ 24.030   0.202 -91.779   7.055]  | 
    56  | 1.815e+00  | 1.828e+02  |    16.89600  |     0.61522  | +0.000994  | [ 24.357   0.187 -91.775   7.046]  | 
    57  | 1.625e+00  | 1.822e+02  |    16.89600  |     0.61274  | +0.001002  | [ 24.666   0.174 -91.772   7.038]  | 
    58  | 1.446e+00  | 1.818e+02  |    16.89600  |     0.61066  | +0.001002  | [ 24.958   0.161 -91.767   7.031]  | 
    59  | 1.279e+00  | 1.814e+02  |    16.89600  |     0.60892  | +0.001001  | [ 25.232   0.150 -91.762   7.024]  | 
    60  | 1.122e+00  | 1.811e+02  |    16.89600  |     0.60749  | +0.001502  | [ 25.489   0.139 -91.756   7.017]  | 
    61  | 9.761e-01  | 1.809e+02  |    16.89600  |     0.60632  | +0.001502  | [ 25.729   0.129 -91.750   7.011]  | 
    62  | 8.409e-01  | 1.807e+02  |    16.89600  |     0.60539  | +0.001014  | [ 25.952   0.120 -91.744   7.005]  | 
    63  | 7.163e-01  | 1.805e+02  |    16.89600  |     0.60466  | +0.001001  | [ 26.157   0.112 -91.739   7.000]  | 
    64  | 6.022e-01  | 1.804e+02  |    16.89600  |     0.60409  | +0.001002  | [ 26.345   0.105 -91.733   6.996]  | 
    65  | 4.985e-01  | 1.803e+02  |    16.89600  |     0.60367  | +0.001001  | [ 26.516   0.098 -91.727   6.991]  | 
    66  | 4.050e-01  | 1.802e+02  |    16.89600  |     0.60336  | +0.000997  | [ 26.671   0.092 -91.722   6.987]  | 
    67  | 3.217e-01  | 1.802e+02  |    16.89600  |     0.60314  | +0.000997  | [ 26.808   0.087 -91.717   6.984]  | 
    68  | 2.485e-01  | 1.801e+02  |    16.89600  |     0.60299  | +0.000986  | [ 26.929   0.083 -91.712   6.981]  | 
    69  | 1.853e-01  | 1.801e+02  |    16.89600  |     0.60290  | +0.000995  | [ 27.034   0.079 -91.708   6.978]  | 
    70  | 1.320e-01  | 1.801e+02  |    16.89600  |     0.60284  | +0.001002  | [ 27.122   0.076 -91.705   6.976]  | 
    71  | 8.836e-02  | 1.801e+02  |    16.89600  |     0.60281  | +0.001002  | [ 27.194   0.073 -91.702   6.974]  | 
    72  | 5.419e-02  | 1.801e+02  |    16.89600  |     0.60280  | +0.001502  | [ 27.251   0.071 -91.700   6.973]  | 
    73  | 2.913e-02  | 1.801e+02  |    16.89600  |     0.60280  | +0.001001  | [ 27.292   0.070 -91.698   6.972]  | 
    74  | 1.263e-02  | 1.801e+02  |    16.89600  |     0.60280  | +0.001512  | [ 27.319   0.069 -91.697   6.971]  | 
    75  | 3.701e-03  | 1.801e+02  |    16.89600  |     0.60280  | +0.001503  | [ 27.334   0.068 -91.696   6.971]  | 
    76  | 4.810e-04  | 1.801e+02  |    16.89600  |     0.60281  | +0.001012  | [ 27.339   0.068 -91.696   6.971]  | 
    77  | 1.028e-05  | 1.801e+02  |    16.89600  |     0.60281  | +0.001492  | [ 27.340   0.068 -91.696   6.971]  | 
    78  | 4.899e-09  | 1.801e+02  |    16.89600  |     0.60281  | +0.001502  | [ 27.340   0.068 -91.696   6.971]  | 
        |            |            |    33.79200  |              |            |                                    | 
        |            |            |    67.58400  |              |            |                                    | 
    79  | 1.181e-12  | 1.801e+02  |    67.58400  |     0.60281  | +0.003999  | [ 27.340   0.068 -91.696   6.971]  | 




x optimal:                   [2.73400496740e+01 6.77722041816e-02 -9.16959475903e+01 6.97076868710e+00]
S degree:                    [ 15.80813153-3.43791222j   3.60801024-9.24263168j]
eigen vals, hessian(x_opt):  [2.34398359801e+02 6.02805539413e-01 6.77436539210e+01 5.13498705928e+01]
e_min:                       0.602805539413
total_time:                  0.2533872127532959
