  iter |       grad |      value |  vector
    48 |  1.313e+02 |  5.427e+04 |  [     38.390      38.274       9.377      75.100      34.025      88.130      37.023      37.321      66.118      13.986      54.383     -12.707      86.138      -1.341      62.656     -96.810     -96.826      -0.565      50.637     -93.592      -0.282     -82.063     -39.916     -26.584     -40.501      -0.329       6.717      14.524       0.944      -3.165]
    49 |  1.226e+02 |  5.363e+04 |  [     36.553      36.436       9.412      72.351      32.205      87.049      35.457      37.156      65.644      13.982      53.984     -12.767      84.749      -1.328      62.554     -97.050     -97.063      -0.665      50.883     -94.157      -0.515     -82.265     -40.469     -27.107     -40.908      -0.640       6.226      14.437       0.889      -3.639]
    50 |  1.144e+02 |  5.305e+04 |  [     34.821      34.703       9.442      69.600      30.484      86.002      33.980      36.995      65.184      13.976      53.613     -12.832      83.394      -1.316      62.482     -97.262     -97.274      -0.756      51.107     -94.672      -0.741     -82.445     -41.007     -27.615     -41.305      -0.957       5.748      14.347       0.837      -4.122]
    51 |  1.067e+02 |  5.253e+04 |  [     33.189      33.071       9.469      66.851      28.859      84.988      32.589      36.837      64.739      13.967      53.266     -12.902      82.073      -1.306      62.438     -97.448     -97.458      -0.837      51.306     -95.137      -0.960     -82.601     -41.527     -28.105     -41.690      -1.277       5.281      14.256       0.787      -4.612]
    52 |  9.946e+01 |  5.206e+04 |  [     31.655      31.537       9.492      64.109      27.329      84.008      31.281      36.685      64.310      13.957      52.943     -12.977      80.788      -1.298      62.418     -97.605     -97.613      -0.909      51.476     -95.552      -1.172     -82.733     -42.029     -28.578     -42.063      -1.599       4.827      14.162       0.740      -5.107]
    53 |  9.263e+01 |  5.164e+04 |  [     30.216      30.097       9.513      61.379      25.889      83.063      30.054      36.537      63.897      13.946      52.642     -13.057      79.540      -1.291      62.420     -97.734     -97.741      -0.974      51.615     -95.918      -1.375     -82.842     -42.512     -29.031     -42.422      -1.921       4.386      14.067       0.696      -5.606]
    54 |  8.619e+01 |  5.126e+04 |  [     28.868      28.749       9.530      58.667      24.538      82.153      28.904      36.394      63.500      13.934      52.360     -13.140      78.329      -1.285      62.442     -97.833     -97.839      -1.031      51.719     -96.235      -1.570     -82.925     -42.976     -29.465     -42.769      -2.241       3.960      13.970       0.655      -6.107]
    55 |  8.009e+01 |  5.092e+04 |  [     27.607      27.488       9.546      55.978      23.272      81.279      27.829      36.258      63.120      13.921      52.097     -13.227      77.156      -1.280      62.481     -97.902     -97.906      -1.080      51.787     -96.503      -1.756     -82.982     -43.420     -29.878     -43.101      -2.558       3.548      13.872       0.616      -6.606]
    56 |  7.432e+01 |  5.062e+04 |  [     26.431      26.311       9.559      53.321      22.087      80.440      26.824      36.128      62.756      13.909      51.850     -13.316      76.022      -1.276      62.535     -97.940     -97.942      -1.122      51.816     -96.722      -1.932     -83.013     -43.843     -30.270     -43.418      -2.868       3.152      13.774       0.581      -7.103]
    57 |  6.885e+01 |  5.035e+04 |  [     25.334      25.213       9.571      50.703      20.981      79.637      25.888      36.005      62.411      13.898      51.617     -13.408      74.927      -1.272      62.603     -97.944     -97.945      -1.159      51.806     -96.893      -2.097     -83.016     -44.245     -30.640     -43.721      -3.170       2.772      13.677       0.548      -7.595]
    58 |  6.366e+01 |  5.010e+04 |  [     24.312      24.192       9.581      48.131      19.949      78.870      25.016      35.889      62.082      13.888      51.398     -13.502      73.872      -1.270      62.684     -97.913     -97.913      -1.189      51.754     -97.013      -2.252     -82.989     -44.625     -30.988     -44.008      -3.461       2.408      13.580       0.517      -8.080]
    59 |  5.872e+01 |  4.989e+04 |  [     23.363      23.242       9.590      45.615      18.987      78.138      24.205      35.782      61.771      13.880      51.190     -13.598      72.859      -1.268      62.775     -97.846     -97.844      -1.214      51.663     -97.083      -2.394     -82.931     -44.984     -31.313     -44.280      -3.741       2.061      13.486       0.489      -8.557]
    60 |  5.404e+01 |  4.970e+04 |  [     22.481      22.360       9.599      43.164      18.092      77.441      23.450      35.682      61.478      13.874      50.992     -13.695      71.886      -1.266      62.875     -97.738     -97.736      -1.235      51.532     -97.100      -2.525     -82.840     -45.321     -31.615     -44.537      -4.006       1.732      13.396       0.464      -9.023]
    61 |  4.959e+01 |  4.953e+04 |  [     21.662      21.541       9.606      40.786      17.259      76.779      22.749      35.592      61.202      13.870      50.804     -13.793      70.956      -1.265      62.983     -97.587     -97.584      -1.251      51.364     -97.063      -2.641     -82.712     -45.636     -31.894     -44.778      -4.256       1.421      13.310       0.441      -9.477]
    62 |  4.540e+01 |  4.939e+04 |  [     20.903      20.781       9.614      38.492      16.483      76.152      22.098      35.510      60.945      13.870      50.625     -13.892      70.068      -1.264      63.098     -97.389     -97.386      -1.264      51.162     -96.967      -2.744     -82.544     -45.929     -32.149     -45.003      -4.488       1.127      13.231       0.420      -9.917]
    63 |  4.147e+01 |  4.926e+04 |  [     20.197      20.075       9.621      36.291      15.761      75.558      21.492      35.438      60.705      13.874      50.454     -13.993      69.224      -1.264      63.218     -97.140     -97.135      -1.273      50.929     -96.810      -2.831     -82.332     -46.200     -32.381     -45.213      -4.702       0.851      13.159       0.402     -10.342]
    64 |  3.782e+01 |  4.915e+04 |  [     19.542      19.419       9.627      34.193      15.087      74.999      20.928      35.376      60.482      13.882      50.291     -14.095      68.425      -1.263      63.344     -96.832     -96.827      -1.279      50.672     -96.585      -2.902     -82.072     -46.449     -32.588     -45.408      -4.895       0.593      13.096       0.386     -10.750]
    65 |  3.450e+01 |  4.905e+04 |  [     18.932      18.809       9.634      32.209      14.458      74.475      20.402      35.324      60.278      13.894      50.136     -14.198      67.672      -1.263      63.472     -96.460     -96.454      -1.283      50.395     -96.288      -2.957     -81.757     -46.676     -32.772     -45.587      -5.068       0.353      13.044       0.373     -11.140]
    66 |  3.157e+01 |  4.897e+04 |  [     18.364      18.240       9.641      30.350      13.868      73.986      19.911      35.282      60.092      13.911      49.989     -14.302      66.967      -1.263      63.603     -96.016     -96.009      -1.285      50.106     -95.910      -2.994     -81.381     -46.882     -32.931     -45.750      -5.218       0.131      13.005       0.361     -11.510]
    67 |  2.908e+01 |  4.889e+04 |  [     17.834      17.709       9.649      28.627      13.314      73.534      19.451      35.250      59.925      13.934      49.851     -14.409      66.312      -1.262      63.735     -95.493     -95.485      -1.286      49.813     -95.447      -3.013     -80.938     -47.065     -33.067     -45.898      -5.346      -0.072      12.978       0.352     -11.858]
    68 |  2.711e+01 |  4.883e+04 |  [     17.337      17.212       9.656      27.050      12.792      73.119      19.018      35.228      59.777      13.961      49.722     -14.517      65.710      -1.262      63.866     -94.884     -94.876      -1.284      49.524     -94.891      -3.016     -80.423     -47.226     -33.178     -46.031      -5.451      -0.258      12.966       0.345     -12.181]
    69 |  2.573e+01 |  4.877e+04 |  [     16.871      16.745       9.664      25.627      12.299      72.743      18.610      35.216      59.647      13.992      49.604     -14.627      65.163      -1.260      63.994     -94.186     -94.178      -1.282      49.247     -94.240      -3.002     -79.833     -47.366     -33.267     -46.148      -5.534      -0.426      12.967       0.341     -12.478]
