  iter |       grad |      value |  vector
   168 |  8.886e+00 |  4.002e+04 |  [      7.013       6.137      27.360      23.149      14.160      63.533       5.197      23.713      48.057       4.616      43.572      18.722      58.164      24.873      57.344       0.206       0.350     -10.749      42.693       1.777     -11.717      -8.430     -51.251     -40.324     -46.950     -12.595       2.700       4.486      -7.977     -24.106]
   169 |  9.146e+00 |  4.001e+04 |  [      6.903       6.010      27.359      23.478      14.146      63.426       5.313      23.289      47.720       4.228      43.458      18.744      58.188      24.921      57.131       0.397       0.536     -11.028      42.501       1.960     -12.208      -8.442     -51.411     -40.680     -46.964     -12.934       2.880       4.028      -8.232     -24.522]
   170 |  9.419e+00 |  4.000e+04 |  [      6.787       5.884      27.357      23.811      14.129      63.313       5.432      22.856      47.374       3.833      43.341      18.763      58.209      24.969      56.912       0.586       0.713     -11.313      42.304       2.144     -12.707      -8.455     -51.571     -41.039     -46.974     -13.278       3.064       3.563      -8.493     -24.942]
   171 |  9.706e+00 |  3.998e+04 |  [      6.665       5.757      27.352      24.147      14.111      63.193       5.555      22.415      47.019       3.431      43.218      18.778      58.226      25.017      56.686       0.771       0.881     -11.605      42.101       2.330     -13.213      -8.471     -51.729     -41.400     -46.981     -13.626       3.252       3.090      -8.760     -25.367]
   172 |  1.001e+01 |  3.997e+04 |  [      6.537       5.630      27.346      24.486      14.090      63.068       5.683      21.965      46.656       3.023      43.090      18.791      58.239      25.064      56.453       0.953       1.041     -11.903      41.892       2.518     -13.725      -8.488     -51.885     -41.764     -46.985     -13.979       3.444       2.610      -9.035     -25.796]
   173 |  1.033e+01 |  3.996e+04 |  [      6.405       5.502      27.339      24.829      14.067      62.936       5.816      21.506      46.283       2.608      42.957      18.801      58.247      25.111      56.212       1.131       1.195     -12.210      41.676       2.709     -14.244      -8.508     -52.039     -42.130     -46.984     -14.336       3.640       2.122      -9.317     -26.229]
   174 |  1.067e+01 |  3.994e+04 |  [      6.268       5.372      27.330      25.175      14.041      62.796       5.955      21.038      45.900       2.185      42.818      18.809      58.252      25.158      55.964       1.304       1.342     -12.524      41.455       2.903     -14.770      -8.529     -52.191     -42.499     -46.980     -14.697       3.841       1.627      -9.607     -26.667]
   175 |  1.104e+01 |  3.992e+04 |  [      6.126       5.242      27.319      25.524      14.012      62.650       6.101      20.560      45.508       1.755      42.673      18.814      58.251      25.206      55.707       1.473       1.485     -12.847      41.226       3.101     -15.303      -8.552     -52.341     -42.869     -46.970     -15.063       4.046       1.123      -9.906     -27.109]
   176 |  1.143e+01 |  3.991e+04 |  [      5.980       5.109      27.308      25.877      13.980      62.496       6.255      20.073      45.105       1.317      42.522      18.817      58.246      25.256      55.442       1.639       1.623     -13.180      40.991       3.303     -15.843      -8.577     -52.488     -43.241     -46.956     -15.433       4.257       0.612     -10.214     -27.554]
   177 |  1.185e+01 |  3.989e+04 |  [      5.830       4.974      27.296      26.234      13.945      62.333       6.418      19.575      44.691       0.872      42.365      18.818      58.236      25.306      55.169       1.799       1.756     -13.524      40.749       3.510     -16.389      -8.604     -52.632     -43.614     -46.936     -15.807       4.474       0.092     -10.533     -28.004]
   178 |  1.231e+01 |  3.987e+04 |  [      5.676       4.837      27.284      26.593      13.907      62.162       6.591      19.066      44.265       0.417      42.200      18.817      58.219      25.359      54.886       1.956       1.886     -13.879      40.499       3.724     -16.943      -8.634     -52.773     -43.989     -46.911     -16.186       4.697      -0.436     -10.863     -28.458]
   179 |  1.281e+01 |  3.985e+04 |  [      5.517       4.698      27.272      26.957      13.865      61.982       6.776      18.545      43.828      -0.046      42.028      18.814      58.197      25.415      54.593       2.109       2.013     -14.247      40.242       3.943     -17.505      -8.665     -52.909     -44.365     -46.880     -16.569       4.926      -0.972     -11.205     -28.915]
   180 |  1.336e+01 |  3.983e+04 |  [      5.355       4.555      27.260      27.323      13.820      61.793       6.975      18.012      43.378      -0.518      41.849      18.810      58.169      25.475      54.290       2.258       2.136     -14.629      39.976       4.171     -18.073      -8.699     -53.041     -44.742     -46.842     -16.957       5.163      -1.518     -11.562     -29.376]
   181 |  1.397e+01 |  3.981e+04 |  [      5.189       4.410      27.250      27.694      13.770      61.593       7.191      17.467      42.914      -1.001      41.660      18.804      58.133      25.540      53.976       2.404       2.257     -15.028      39.702       4.407     -18.649      -8.736     -53.168     -45.119     -46.796     -17.350       5.409      -2.072     -11.935     -29.840]
   182 |  1.465e+01 |  3.978e+04 |  [      5.019       4.261      27.243      28.068      13.717      61.382       7.426      16.908      42.436      -1.494      41.463      18.796      58.091      25.612      53.651       2.546       2.375     -15.445      39.419       4.652     -19.232      -8.775     -53.289     -45.496     -46.742     -17.747       5.663      -2.636     -12.326     -30.307]
   183 |  1.542e+01 |  3.976e+04 |  [      4.845       4.110      27.239      28.445      13.660      61.160       7.683      16.334      41.942      -1.999      41.257      18.788      58.040      25.692      53.313       2.684       2.490     -15.883      39.127       4.909     -19.822      -8.816     -53.403     -45.873     -46.680     -18.148       5.928      -3.209     -12.737     -30.778]
   184 |  1.629e+01 |  3.973e+04 |  [      4.667       3.957      27.241      28.826      13.598      60.924       7.968      15.745      41.432      -2.515      41.039      18.779      57.981      25.782      52.962       2.820       2.604     -16.346      38.825       5.178     -20.420      -8.860     -53.510     -46.248     -46.607     -18.554       6.205      -3.792     -13.172     -31.251]
   185 |  1.729e+01 |  3.970e+04 |  [      4.488       3.802      27.250      29.211      13.534      60.676       8.283      15.139      40.904      -3.045      40.811      18.771      57.912      25.887      52.597       2.952       2.715     -16.838      38.512       5.461     -21.025      -8.906     -53.608     -46.622     -46.522     -18.964       6.495      -4.385     -13.635     -31.726]
   186 |  1.844e+01 |  3.966e+04 |  [      4.307       3.648      27.269      29.600      13.466      60.412       8.635      14.514      40.357      -3.589      40.570      18.764      57.833      26.008      52.217       3.080       2.823     -17.363      38.189       5.760     -21.638      -8.955     -53.696     -46.993     -46.425     -19.378       6.799      -4.989     -14.130     -32.203]
   187 |  1.978e+01 |  3.963e+04 |  [      4.129       3.496      27.302      29.993      13.397      60.132       9.028      13.870      39.789      -4.148      40.315      18.758      57.743      26.150      51.820       3.205       2.929     -17.927      37.853       6.074     -22.257      -9.004     -53.772     -47.359     -46.314     -19.796       7.119      -5.602     -14.662     -32.681]
   188 |  2.131e+01 |  3.958e+04 |  [      3.956       3.351      27.352      30.389      13.329      59.835       9.465      13.205      39.199      -4.724      40.045      18.757      57.640      26.318      51.405       3.326       3.033     -18.538      37.505       6.406     -22.883      -9.053     -53.834     -47.720     -46.186     -20.216       7.457      -6.226     -15.238     -33.160]
   189 |  2.306e+01 |  3.954e+04 |  [      3.795       3.219      27.423      30.789      13.264      59.518       9.946      12.517      38.584      -5.316      39.758      18.761      57.524      26.514      50.971       3.442       3.133     -19.203      37.144       6.755     -23.514      -9.101     -53.880     -48.074     -46.039     -20.639       7.814      -6.861     -15.864     -33.638]
   190 |  2.501e+01 |  3.948e+04 |  [      3.653       3.104      27.519      31.193      13.205      59.180      10.469      11.806      37.944      -5.926      39.454      18.773      57.391      26.743      50.515       3.553       3.232     -19.929      36.768       7.120     -24.150      -9.145     -53.908     -48.419     -45.873     -21.064       8.191      -7.505     -16.546     -34.114]
   191 |  2.712e+01 |  3.943e+04 |  [      3.535       3.013      27.642      31.602      13.157      58.819      11.025      11.070      37.276      -6.555      39.131      18.795      57.242      27.004      50.037       3.660       3.328     -20.725      36.376       7.498     -24.791      -9.185     -53.917     -48.753     -45.686     -21.489       8.588      -8.160     -17.291     -34.587]
   192 |  2.936e+01 |  3.936e+04 |  [      3.447       2.950      27.790      32.014      13.124      58.433      11.598      10.310      36.580      -7.200      38.787      18.828      57.075      27.293      49.535       3.762       3.422     -21.596      35.968       7.884     -25.434      -9.221     -53.905     -49.075     -45.477     -21.914       9.006      -8.823     -18.105     -35.058]
   193 |  3.169e+01 |  3.928e+04 |  [      3.390       2.916      27.960      32.432      13.108      58.022      12.175       9.526      35.857      -7.863      38.424      18.873      56.888      27.604      49.007       3.862       3.515     -22.546      35.542       8.272     -26.079      -9.253     -53.872     -49.383     -45.246     -22.339       9.442      -9.495     -18.990     -35.524]
   194 |  3.409e+01 |  3.920e+04 |  [      3.363       2.911      28.144      32.853      13.113      57.585      12.742       8.719      35.105      -8.541      38.040      18.932      56.681      27.929      48.454       3.958       3.608     -23.578      35.099       8.658     -26.724      -9.285     -53.817     -49.678     -44.993     -22.763       9.895     -10.175     -19.950     -35.985]
   195 |  3.653e+01 |  3.910e+04 |  [      3.365       2.931      28.335      33.279      13.140      57.122      13.291       7.890      34.327      -9.234      37.635      19.004      56.453      28.257      47.875       4.051       3.699     -24.692      34.637       9.034     -27.368      -9.321     -53.741     -49.958     -44.718     -23.185      10.361     -10.861     -20.984     -36.440]
   196 |  3.899e+01 |  3.900e+04 |  [      3.392       2.973      28.523      33.709      13.192      56.633      13.815       7.042      33.524      -9.940      37.212      19.088      56.205      28.579      47.271       4.140       3.789     -25.886      34.156       9.394     -28.011      -9.364     -53.644     -50.223     -44.422     -23.605      10.837     -11.552     -22.093     -36.888]
   197 |  4.143e+01 |  3.888e+04 |  [      3.440       3.034      28.700      34.141      13.269      56.120      14.312       6.175      32.696     -10.657      36.769      19.187      55.937      28.887      46.644       4.225       3.875     -27.159      33.657       9.735     -28.651      -9.419     -53.526     -50.472     -44.107     -24.022      11.319     -12.248     -23.275     -37.328]
   198 |  4.382e+01 |  3.875e+04 |  [      3.508       3.113      28.856      34.577      13.374      55.583      14.781       5.291      31.847     -11.384      36.309      19.298      55.648      29.171      45.993       4.305       3.956     -28.506      33.140      10.052     -29.286      -9.488     -53.388     -50.706     -43.772     -24.436      11.803     -12.946     -24.527     -37.760]
   199 |  4.613e+01 |  3.862e+04 |  [      3.593       3.207      28.983      35.015      13.508      55.022      15.223       4.393      30.978     -12.119      35.832      19.424      55.340      29.424      45.321       4.377       4.032     -29.924      32.606      10.340     -29.916      -9.575     -53.230     -50.924     -43.419     -24.846      12.284     -13.647     -25.846     -38.183]
   200 |  4.833e+01 |  3.847e+04 |  [      3.693       3.314      29.074      35.454      13.672      54.440      15.637       3.483      30.090     -12.860      35.339      19.563      55.014      29.639      44.628       4.442       4.100     -31.405      32.054      10.598     -30.540      -9.682     -53.053     -51.126     -43.049     -25.252      12.758     -14.348     -27.226     -38.595]
   201 |  5.038e+01 |  3.831e+04 |  [      3.807       3.434      29.121      35.893      13.868      53.837      16.023       2.562      29.185     -13.605      34.830      19.718      54.668      29.809      43.916       4.497       4.159     -32.943      31.486      10.823     -31.156      -9.809     -52.858     -51.312     -42.663     -25.654      13.220     -15.048     -28.663     -38.998]
   202 |  5.224e+01 |  3.815e+04 |  [      3.933       3.565      29.117      36.333      14.098      53.214      16.383       1.633      28.265     -14.353      34.308      19.888      54.305      29.928      43.186       4.541       4.207     -34.531      30.901      11.011     -31.764      -9.960     -52.647     -51.484     -42.263     -26.050      13.666     -15.747     -30.148     -39.390]
   203 |  5.389e+01 |  3.797e+04 |  [      4.071       3.706      29.057      36.772      14.361      52.573      16.716       0.697      27.333     -15.102      33.773      20.074      53.924      29.991      42.440       4.574       4.244     -36.158      30.301      11.161     -32.364     -10.133     -52.420     -51.641     -41.849     -26.441      14.090     -16.442     -31.674     -39.771]
   204 |  5.528e+01 |  3.779e+04 |  [      4.218       3.855      28.935      37.209      14.658      51.914      17.022      -0.244      26.388     -15.851      33.226      20.277      53.527      29.993      41.679       4.593       4.269     -37.814      29.686      11.270     -32.954     -10.329     -52.179     -51.784     -41.425     -26.827      14.489     -17.134     -33.232     -40.140]
   205 |  5.641e+01 |  3.760e+04 |  [      4.373       4.011      28.747      37.645      14.988      51.239      17.301      -1.189      25.434     -16.598      32.668      20.498      53.114      29.928      40.903       4.599       4.280     -39.489      29.057      11.336     -33.534     -10.547     -51.926     -51.914     -40.991     -27.207      14.858     -17.822     -34.810     -40.499]
   206 |  5.726e+01 |  3.741e+04 |  [      4.535       4.173      28.489      38.078      15.353      50.549      17.552      -2.135      24.471     -17.342      32.101      20.738      52.686      29.796      40.115       4.591       4.277     -41.172      28.415      11.358     -34.104     -10.788     -51.663     -52.032     -40.550     -27.582      15.193     -18.504     -36.400     -40.846]
   207 |  5.782e+01 |  3.721e+04 |  [      4.703       4.340      28.159      38.507      15.750      49.844      17.777      -3.082      23.501     -18.082      31.524      20.995      52.243      29.592      39.317       4.568       4.259     -42.849      27.759      11.334     -34.664     -11.048     -51.390     -52.140     -40.103     -27.952      15.489     -19.179     -37.989     -41.183]
   208 |  5.810e+01 |  3.701e+04 |  [      4.874       4.509      27.757      38.933      16.178      49.127      17.974      -4.029      22.525     -18.817      30.939      21.272      51.787      29.318      38.508       4.531       4.227     -44.510      27.092      11.263     -35.213     -11.326     -51.110     -52.238     -39.651     -28.316      15.743     -19.848     -39.567     -41.509]
   209 |  5.811e+01 |  3.681e+04 |  [      5.046       4.680      27.283      39.354      16.636      48.398      18.143      -4.975      21.543     -19.546      30.347      21.566      51.319      28.972      37.691       4.479       4.182     -46.143      26.414      11.144     -35.752     -11.620     -50.825     -52.327     -39.196     -28.676      15.952     -20.510     -41.122     -41.825]
   210 |  5.788e+01 |  3.661e+04 |  [      5.219       4.850      26.738      39.771      17.120      47.658      18.286      -5.918      20.558     -20.269      29.749      21.879      50.838      28.557      36.867       4.414       4.123     -47.737      25.726      10.976     -36.282     -11.927     -50.534     -52.409     -38.740     -29.030      16.112     -21.165     -42.645     -42.131]
   211 |  5.744e+01 |  3.642e+04 |  [      5.391       5.018      26.126      40.181      17.629      46.909      18.402      -6.859      19.569     -20.984      29.145      22.209      50.347      28.076      36.037       4.337       4.051     -49.282      25.029      10.759     -36.801     -12.244     -50.240     -52.485     -38.282     -29.380      16.223     -21.812     -44.125     -42.429]
   212 |  5.682e+01 |  3.622e+04 |  [      5.560       5.183      25.451      40.585      18.159      46.152      18.492      -7.796      18.578     -21.692      28.537      22.555      49.846      27.533      35.203       4.248       3.968     -50.768      24.324      10.495     -37.312     -12.569     -49.943     -52.555     -37.825     -29.725      16.283     -22.451     -45.554     -42.718]
   213 |  5.605e+01 |  3.603e+04 |  [      5.725       5.344      24.719      40.982      18.706      45.387      18.558      -8.730      17.585     -22.392      27.924      22.917      49.336      26.932      34.365       4.149       3.875     -52.190      23.611      10.183     -37.814     -12.898     -49.643     -52.620     -37.368     -30.066      16.291     -23.082     -46.924     -43.000]
   214 |  5.516e+01 |  3.585e+04 |  [      5.885       5.499      23.935      41.371      19.268      44.615      18.600      -9.658      16.590     -23.084      27.308      23.292      48.818      26.280      33.525       4.041       3.772     -53.539      22.893       9.826     -38.307     -13.229     -49.342     -52.682     -36.911     -30.402      16.248     -23.706     -48.230     -43.275]
   215 |  5.418e+01 |  3.567e+04 |  [      6.039       5.648      23.106      41.751      19.841      43.838      18.620     -10.582      15.595     -23.767      26.688      23.679      48.293      25.583      32.683       3.925       3.663     -54.813      22.170       9.424     -38.793     -13.559     -49.039     -52.739     -36.456     -30.733      16.154     -24.323     -49.468     -43.545]
   216 |  5.314e+01 |  3.549e+04 |  [      6.186       5.791      22.239      42.122      20.421      43.056      18.621     -11.499      14.600     -24.441      26.067      24.077      47.760      24.847      31.841       3.803       3.547     -56.008      21.442       8.980     -39.271     -13.887     -48.735     -52.792     -36.001     -31.060      16.012     -24.932     -50.633     -43.809]
   217 |  5.206e+01 |  3.532e+04 |  [      6.326       5.926      21.341      42.483      21.004      42.270      18.603     -12.410      13.606     -25.105      25.444      24.483      47.222      24.078      30.999       3.676       3.426     -57.122      20.710       8.497     -39.742     -14.210     -48.429     -52.842     -35.546     -31.381      15.824     -25.534     -51.725     -44.068]
   218 |  5.095e+01 |  3.515e+04 |  [      6.459       6.053      20.418      42.832      21.587      41.480      18.569     -13.314      12.613     -25.759      24.819      24.897      46.677      23.284      30.157       3.546       3.302     -58.155      19.976       7.976     -40.207     -14.526     -48.121     -52.889     -35.092     -31.698      15.592     -26.129     -52.742     -44.324]
   219 |  4.985e+01 |  3.499e+04 |  [      6.585       6.174      19.478      43.170      22.166      40.687      18.520     -14.211      11.621     -26.403      24.193      25.316      46.128      22.471      29.317       3.413       3.175     -59.108      19.239       7.420     -40.665     -14.835     -47.810     -52.931     -34.637     -32.009      15.319     -26.718     -53.687     -44.576]
   220 |  4.874e+01 |  3.484e+04 |  [      6.703       6.286      18.526      43.496      22.738      39.891      18.458     -15.099      10.632     -27.036      23.567      25.738      45.573      21.644      28.477       3.279       3.047     -59.984      18.501       6.832     -41.117     -15.135     -47.497     -52.969     -34.183     -32.315      15.008     -27.300     -54.559     -44.825]
   221 |  4.764e+01 |  3.469e+04 |  [      6.814       6.392      17.568      43.809      23.300      39.094      18.386     -15.978       9.646     -27.657      22.941      26.163      45.014      20.808      27.640       3.144       2.918     -60.784      17.762       6.214     -41.564     -15.426     -47.181     -53.003     -33.727     -32.615      14.662     -27.875     -55.362     -45.071]
   222 |  4.656e+01 |  3.454e+04 |  [      6.918       6.491      16.609      44.108      23.850      38.294      18.304     -16.847       8.663     -28.268      22.315      26.589      44.451      19.969      26.805       3.009       2.789     -61.513      17.022       5.570     -42.004     -15.708     -46.861     -53.032     -33.270     -32.908      14.284     -28.445     -56.098     -45.314]
   223 |  4.550e+01 |  3.440e+04 |  [      7.015       6.583      15.653      44.392      24.385      37.493      18.213     -17.707       7.684     -28.866      21.689      27.014      43.884      19.131      25.971       2.874       2.660     -62.173      16.282       4.903     -42.438     -15.979     -46.536     -53.055     -32.812     -33.196      13.878     -29.008     -56.771     -45.555]
   224 |  4.446e+01 |  3.427e+04 |  [      7.107       6.669      14.704      44.663      24.902      36.691      18.117     -18.556       6.709     -29.452      21.064      27.437      43.313      18.297      25.140       2.741       2.533     -62.769      15.543       4.214     -42.865     -16.241     -46.208     -53.073     -32.352     -33.477      13.446     -29.565     -57.384     -45.793]
   225 |  4.344e+01 |  3.414e+04 |  [      7.192       6.749      13.764      44.918      25.399      35.888      18.014     -19.394       5.740     -30.025      20.440      27.858      42.738      17.469      24.311       2.608       2.406     -63.304      14.804       3.508     -43.287     -16.493     -45.875     -53.084     -31.890     -33.750      12.991     -30.116     -57.942     -46.029]
   226 |  4.243e+01 |  3.401e+04 |  [      7.272       6.824      12.836      45.158      25.875      35.084      17.907     -20.221       4.776     -30.586      19.817      28.274      42.159      16.651      23.483       2.477       2.281     -63.784      14.066       2.788     -43.702     -16.736     -45.537     -53.088     -31.426     -34.017      12.515     -30.660     -58.447     -46.262]
   227 |  4.144e+01 |  3.389e+04 |  [      7.348       6.894      11.923      45.383      26.328      34.281      17.796     -21.035       3.818     -31.135      19.196      28.685      41.578      15.844      22.658       2.348       2.158     -64.211      13.330       2.055     -44.110     -16.969     -45.194     -53.085     -30.960     -34.277      12.021     -31.197     -58.903     -46.492]
   228 |  4.047e+01 |  3.377e+04 |  [      7.419       6.960      11.025      45.592      26.756      33.477      17.683     -21.837       2.867     -31.670      18.577      29.091      40.993      15.050      21.835       2.221       2.036     -64.590      12.596       1.315     -44.510     -17.194     -44.846     -53.075     -30.492     -34.528      11.510     -31.728     -59.314     -46.719]
   229 |  3.952e+01 |  3.366e+04 |  [      7.486       7.021      10.144      45.786      27.158      32.674      17.566     -22.627       1.923     -32.193      17.959      29.490      40.405      14.269      21.014       2.095       1.916     -64.924      11.864       0.568     -44.903     -17.409     -44.493     -53.057     -30.023     -34.772      10.985     -32.251     -59.684     -46.943]
   230 |  3.857e+01 |  3.355e+04 |  [      7.549       7.080       9.281      45.964      27.533      31.871      17.448     -23.404       0.986     -32.702      17.344      29.881      39.815      13.504      20.195       1.971       1.798     -65.216      11.136      -0.180     -45.289     -17.617     -44.134     -53.030     -29.551     -35.009      10.446     -32.767     -60.015     -47.163]
   231 |  3.764e+01 |  3.344e+04 |  [      7.609       7.134       8.436      46.126      27.881      31.070      17.328     -24.169       0.057     -33.199      16.732      30.265      39.222      12.753      19.378       1.848       1.681     -65.471      10.410      -0.928     -45.666     -17.816     -43.771     -52.996     -29.078     -35.237       9.896     -33.276     -60.310     -47.379]
   232 |  3.672e+01 |  3.334e+04 |  [      7.666       7.186       7.608      46.274      28.201      30.269      17.207     -24.920      -0.863     -33.682      16.122      30.640      38.627      12.017      18.563       1.728       1.566     -65.691       9.689      -1.672     -46.035     -18.008     -43.402     -52.953     -28.603     -35.457       9.336     -33.776     -60.572     -47.591]
   233 |  3.581e+01 |  3.324e+04 |  [      7.721       7.236       6.799      46.406      28.493      29.471      17.085     -25.658      -1.776     -34.153      15.516      31.005      38.031      11.297      17.750       1.608       1.453     -65.878       8.971      -2.410     -46.395     -18.192     -43.029     -52.901     -28.127     -35.668       8.768     -34.268     -60.804     -47.798]
   234 |  3.492e+01 |  3.315e+04 |  [      7.773       7.283       6.008      46.524      28.756      28.674      16.962     -26.382      -2.679     -34.612      14.912      31.361      37.432      10.592      16.940       1.491       1.341     -66.035       8.258      -3.138     -46.746     -18.369     -42.651     -52.841     -27.651     -35.872       8.191     -34.752     -61.008     -48.001]
   235 |  3.403e+01 |  3.306e+04 |  [      7.824       7.328       5.235      46.627      28.993      27.879      16.839     -27.094      -3.573     -35.058      14.313      31.706      36.833       9.903      16.131       1.374       1.230     -66.165       7.551      -3.854     -47.088     -18.540     -42.268     -52.772     -27.173     -36.067       7.607     -35.227     -61.185     -48.198]
   236 |  3.315e+01 |  3.297e+04 |  [      7.872       7.371       4.479      46.716      29.202      27.088      16.714     -27.792      -4.458     -35.491      13.717      32.040      36.232       9.228      15.326       1.259       1.121     -66.269       6.849      -4.556     -47.420     -18.703     -41.882     -52.695     -26.695     -36.253       7.018     -35.692     -61.339     -48.390]
   237 |  3.229e+01 |  3.288e+04 |  [      7.920       7.413       3.740      46.792      29.384      26.299      16.590     -28.477      -5.332     -35.912      13.125      32.362      35.631       8.568      14.523       1.145       1.013     -66.349       6.152      -5.241     -47.742     -18.860     -41.491     -52.609     -26.216     -36.431       6.424     -36.148     -61.470     -48.576]
   238 |  3.143e+01 |  3.280e+04 |  [      7.965       7.453       3.019      46.855      29.542      25.514      16.465     -29.149      -6.197     -36.322      12.537      32.673      35.030       7.922      13.723       1.032       0.907     -66.407       5.462      -5.908     -48.054     -19.011     -41.097     -52.515     -25.738     -36.601       5.826     -36.595     -61.579     -48.756]
   239 |  3.059e+01 |  3.273e+04 |  [      8.010       7.491       2.313      46.906      29.675      24.733      16.340     -29.807      -7.051     -36.719      11.954      32.971      34.430       7.290      12.926       0.920       0.801     -66.445       4.779      -6.555     -48.356     -19.155     -40.699     -52.412     -25.260     -36.762       5.225     -37.032     -61.670     -48.930]
   240 |  2.975e+01 |  3.265e+04 |  [      8.053       7.528       1.624      46.944      29.785      23.956      16.214     -30.452      -7.895     -37.106      11.375      33.257      33.829       6.672      12.132       0.808       0.697     -66.464       4.103      -7.181     -48.647     -19.294     -40.298     -52.301     -24.783     -36.915       4.622     -37.458     -61.742     -49.098]
   241 |  2.894e+01 |  3.258e+04 |  [      8.096       7.564       0.950      46.971      29.873      23.183      16.089     -31.085      -8.728     -37.480      10.802      33.529      33.231       6.067      11.341       0.698       0.593     -66.466       3.434      -7.784     -48.928     -19.426     -39.895     -52.181     -24.307     -37.059       4.017     -37.874     -61.797     -49.259]
   242 |  2.813e+01 |  3.251e+04 |  [      8.137       7.599       0.291      46.987      29.942      22.416      15.963     -31.704      -9.550     -37.844      10.234      33.788      32.633       5.475      10.555       0.588       0.491     -66.451       2.773      -8.366     -49.198     -19.553     -39.489     -52.054     -23.832     -37.196       3.413     -38.280     -61.836     -49.413]
   243 |  2.734e+01 |  3.245e+04 |  [      8.178       7.633      -0.353      46.993      29.992      21.654      15.838     -32.310     -10.360     -38.197       9.671      34.034      32.038       4.895       9.772       0.480       0.389     -66.420       2.120      -8.924     -49.458     -19.675     -39.081     -51.919     -23.359     -37.324       2.808     -38.675     -61.861     -49.560]
   244 |  2.656e+01 |  3.238e+04 |  [      8.218       7.666      -0.983      46.988      30.025      20.899      15.713     -32.904     -11.159     -38.539       9.114      34.266      31.444       4.328       8.994       0.371       0.289     -66.376       1.476      -9.459     -49.706     -19.791     -38.671     -51.777     -22.888     -37.444       2.205     -39.059     -61.871     -49.701]
   245 |  2.579e+01 |  3.232e+04 |  [      8.258       7.698      -1.599      46.974      30.042      20.149      15.588     -33.485     -11.947     -38.871       8.563      34.483      30.854       3.773       8.220       0.264       0.190     -66.319       0.840      -9.972     -49.944     -19.902     -38.259     -51.627     -22.418     -37.556       1.605     -39.432     -61.869     -49.834]
   246 |  2.504e+01 |  3.227e+04 |  [      8.297       7.729      -2.201      46.952      30.045      19.406      15.464     -34.053     -12.723     -39.193       8.018      34.687      30.267       3.229       7.450       0.157       0.091     -66.249       0.213     -10.462     -50.171     -20.008     -37.847     -51.471     -21.951     -37.660       1.007     -39.795     -61.855     -49.959]
   247 |  2.431e+01 |  3.221e+04 |  [      8.335       7.759      -2.791      46.921      30.035      18.670      15.340     -34.609     -13.486     -39.505       7.480      34.876      29.683       2.696       6.686       0.051      -0.007     -66.169      -0.405     -10.930     -50.387     -20.109     -37.433     -51.308     -21.487     -37.757       0.413     -40.146     -61.830     -50.078]
   248 |  2.358e+01 |  3.216e+04 |  [      8.373       7.788      -3.367      46.882      30.014      17.942      15.216     -35.152     -14.238     -39.807       6.948      35.052      29.103       2.175       5.927      -0.055      -0.103     -66.078      -1.013     -11.377     -50.592     -20.206     -37.019     -51.138     -21.025     -37.845      -0.175     -40.487     -61.795     -50.189]
   249 |  2.288e+01 |  3.211e+04 |  [      8.410       7.816      -3.932      46.836      29.982      17.221      15.094     -35.683     -14.978     -40.099       6.423      35.213      28.528       1.664       5.174      -0.160      -0.199     -65.977      -1.612     -11.803     -50.787     -20.299     -36.604     -50.961     -20.567     -37.927      -0.759     -40.816     -61.750     -50.292]
   250 |  2.218e+01 |  3.206e+04 |  [      8.447       7.843      -4.484      46.782      29.941      16.508      14.971     -36.202     -15.705     -40.382       5.904      35.360      27.957       1.163       4.426      -0.265      -0.293     -65.868      -2.202     -12.210     -50.971     -20.387     -36.189     -50.779     -20.111     -38.001      -1.335     -41.134     -61.696     -50.389]
   251 |  2.150e+01 |  3.202e+04 |  [      8.483       7.869      -5.024      46.723      29.891      15.804      14.850     -36.710     -16.420     -40.656       5.393      35.494      27.391       0.672       3.684      -0.370      -0.387     -65.751      -2.782     -12.599     -51.144     -20.472     -35.774     -50.592     -19.659     -38.069      -1.905     -41.442     -61.634     -50.478]
   252 |  2.084e+01 |  3.197e+04 |  [      8.519       7.894      -5.554      46.657      29.834      15.108      14.729     -37.205     -17.122     -40.922       4.889      35.614      26.831       0.192       2.949      -0.474      -0.480     -65.627      -3.352     -12.969     -51.308     -20.552     -35.360     -50.398     -19.210     -38.129      -2.467     -41.739     -61.565     -50.559]
   253 |  2.019e+01 |  3.193e+04 |  [      8.555       7.919      -6.072      46.586      29.771      14.421      14.609     -37.689     -17.812     -41.178       4.392      35.721      26.276      -0.280       2.219      -0.578      -0.571     -65.496      -3.912     -13.322     -51.461     -20.630     -34.946     -50.200     -18.765     -38.183      -3.020     -42.025     -61.489     -50.633]
   254 |  1.955e+01 |  3.189e+04 |  [      8.591       7.942      -6.580      46.509      29.702      13.743      14.490     -38.161     -18.489     -41.426       3.902      35.815      25.726      -0.742       1.497      -0.682      -0.662     -65.360      -4.463     -13.660     -51.604     -20.703     -34.533     -49.997     -18.324     -38.230      -3.564     -42.301     -61.407     -50.700]
   255 |  1.893e+01 |  3.185e+04 |  [      8.627       7.964      -7.077      46.428      29.627      13.075      14.371     -38.621     -19.154     -41.666       3.420      35.897      25.183      -1.196       0.782      -0.786      -0.751     -65.217      -5.003     -13.982     -51.738     -20.774     -34.121     -49.789     -17.887     -38.271      -4.098     -42.566     -61.319     -50.760]
